Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
EDERAL FST 125,HEV-E-OIL M M 54 (P),1,5.3,1985,21—26,Not Dual,#4,38325,Yes,2017,Elevator Apartments,68160,6,52,1909
EDERAL FST 175,I.C.I. DEG-84 P,1,7.4,1993,16—20,DUAL FUEL,#6,100608,Yes,2019,Elevator Apartments,79448,6,96,1950
EDERAL FST 90,IRON FIREMAN AO6-4.5 RK,1,3.78,1985,21—26,Not Dual,#4,14700,No,0,Walk-Up Apartments,40338,6,41,1923
EDERAL FST-90,IND. COMB DEG-42 P,1,3.8,1986,21—26,Not Dual,#6,19328,Yes,2020,Loft Buildings,50100,6,59,1929
EDGEMOOR IRON UNKNOWN,TODD D-RPAH-1 (MODIFIED),2,10.7,1972,36—40,Not Dual,#6,28000,Yes,2021,Walk-Up Apartments,193034,5,1,1916
ERIE CITY 127,INDUSTRIAL COMBUSTION MODEL DE 84 S,3,1.3,1978,31—35,Not Dual,#6,86100,Yes,2021,Elevator Apartments,291828,12,94,1915
ERIE CITY UNKNOWN,THE ENGINEERING CO. E-1,1,18.9,1975,31—35,Not Dual,#6,137970,Yes,2021,Walk-Up Apartments,656241,7,1,1928
EXIST FEDERAL FST-350,NEW S.T.JOHNSON FD68-CAHM (SIZE 300),3,14.7,1999,11—15,DUAL FUEL,#6,91980,Yes,2016,Condominiums,470492,27,5,1961
EXISTING FEDERAL FST-250,NEW I.C. DEG-105 P,1,10.4,1999,11—15,DUAL FUEL,#6,79409,Yes,2013,Walk-Up Apartments,192000,6,145,1951
EXISTING FEDERAL-FST 200,S.T.JOHNSON  -FD-68 CAHM (SIZE 200),1,8.4,2001,5—10,DUAL FUEL,#6,57487,Yes,2017,Loft Buildings,61828,11,8,1914
EXISTING GIBRALTER   GCB  109-2,NEW-    I.C.I  MMG-42  S,1,3.77,2000,5—10,DUAL FUEL,#4,28616,No,0,Office Buildings,35104,13,76,1964
EXISTING KEWANEE 7L291,NEW HEVE/I.C. DEG-210P,1,21,1999,11—15,DUAL FUEL,#6,261114,Yes,2020,Condominiums,235297,12,1,1975
EXISTING PACIFIC  67L1,HEVE DEG-84-S,1,7,1985,21—26,Not Dual,#6,39631,Yes,2017,Elevator Apartments,98955,6,76,1961
EXISTING ROCKMILLS MP #200,INDUSTRIAL COMBUSTION DEG #84,1,6.69,1993,16—20,Not Dual,#6,42000,No,0,Elevator Apartments,28835,5,35,1916
EXISTING ROCKMILLS MP-70,INDUSTRIAL COMB. MMG-28,1,2.77,1997,11—15,DUAL FUEL,#4,15177,No,0,Walk-Up Apartments,37000,5,39,1926
EXISTING-FEDERAL-FST-250SP,ICI-DEG-105P,1,10.5,2000,5—10,DUAL FUEL,#6,52272,Yes,2017,Elevator Apartments,78033,11,24,1900
EXISTING-ROCKMILLS   -MP80,(NEW)INDUST.COMB  -MMG-34 P,1,3.36,2000,5—10,DUAL FUEL,#4,26291,No,0,Condominiums,47463,6,43,1920
EXISTING-ROCKMILLS-MP 250,(NEW)  INDUST. COMB.-DEG 105  P,1,10.5,2000,5—10,DUAL FUEL,#6,79409,Yes,2020,Elevator Apartments,223179,15,155,1922
EXISTING FEDERAL/EASTMOND  FST-150,EXISTING HEVE (I.C.)DEG-84 P,1,6.3,1996,11—15,DUAL FUEL,#6,45990,Yes,2013,Elevator Apartments,106512,6,111,1928
FDEDERAL FST-90,IND. COMB. DEG-42-P,1,3.8,1980,26—30,Not Dual,#6,38836,No,0,Elevator Apartments,41151,6,49,1937
FED FLW2125,PETO WD6AH,1,7,1969,41—45,Not Dual,#6,47012,Yes,2013,Walk-Up Apartments,98800,13,27,1921
FED FST 125,ICI DEG 54P,1,5.2,1985,21—26,Not Dual,#6,34492,Yes,2017,Elevator Apartments,100498,6,85,1954
FED FST 300,HEV-E-OIL DEG 145P,1,12.6,1981,26—30,Not Dual,#6,68985,Yes,2016,Elevator Apartments,206598,16,328,1929
FED FST-150,IND COMB DE-63-P,1,5.9,1984,26—30,Not Dual,#6,81760,Yes,2014,Elevator Apartments,84826,6,80,1948
FED FST-150,ICI DEG 63P,1,6.27,1986,21—26,Not Dual,#6,31898,Yes,2020,Walk-Up Apartments,92739,16,19,1912
FED FST-175,ICI DEG 84P,1,7,1984,26—30,Not Dual,#6,53655,Yes,2017,Elevator Apartments,90000,13,82,1955
FED FST-175,ICI DEG-84P,1,7,1984,26—30,Not Dual,#6,53655,Yes,2017,Walk-Up Apartments,90000,13,82,1955
FED FST-300,JOHNSON FD68-CAHM-SIZE 300,1,11.3,1985,21—26,Not Dual,#6,153300,Yes,2019,Elevator Apartments,162075,15,99,1928
FED/EAST #FST-125,IND COMB #DEG-54-P,1,4.9,1984,26—30,Not Dual,#6,68985,Yes,2021,Loft Buildings,77050,7,66,1938
FED/EASTMOND FST-90,(2) S.T. JOHNSON FD68 CAHM (SIZE 90),2,3.78,1998,11—15,DUAL FUEL,#4,28744,Yes,2016,Office Buildings,74641,15,51,1928
FEDERAK FST-175,ICI MMG-84P (NEW),1,5.86,2003,5—10,DUAL FUEL,#4,34569,Yes,2017,Elevator Apartments,109022,10,71,1913
FEDERAL        FST-60,INDUSTRIAL COMBUSTION    MMG-30,1,2.59,1994,16—20,DUAL FUEL,#4,14116,No,0,Elevator Apartments,32300,5,33,1917
FEDERAL       FST-300,INDUSTRIAL COMBUSTION DEG-145P ,2,0,2008,5--,DUAL FUEL,#6,130612,Yes,2015,Condominiums,349342,19,201,1931
FEDERAL     FST-150,INDUSTRIAL COMBUSTION DEG-63P,1,5021,2008,5--,DUAL FUEL,#4,34339,Yes,2017,Walk-Up Apartments,82230,6,86,1939
FEDERAL     FST-60   (NEW),INDUSTRIAL COMBUSTION   MMG28,1,2,2007,5--,DUAL FUEL,#4,19853,No,0,Walk-Up Apartments,18050,6,25,1929
FEDERAL    FST 175,I C I     DEG 84 P,1,7.28,2000,5—10,DUAL FUEL,#4,38325,Yes,2016,Walk-Up Apartments,80555,5,79,1900
FEDERAL    FST 300,INDUSTRIAL COMB.  DEG 145 P,2,12.6,2000,5—10,DUAL FUEL,#6,65306,Yes,2013,Walk-Up Apartments,323200,19,413,1960
FEDERAL    FST-175,INDUSTRIAL COMB.   DEG-84 P,1,7.35,2001,5—10,DUAL FUEL,#6,38325,Yes,2019,Office Buildings,106541,6,109,1957
FEDERAL    FST-250,IND.COMB   DEG-105 P,1,10.5,2000,5—10,DUAL FUEL,#6,52275,Yes,2018,Store Buildings,121147,10,6,1910
FEDERAL    FST-300 (NEW),ICI  DEG-145P (NEW),2,10,2006,5--,DUAL FUEL,#6,89460,Yes,2020,Elevator Apartments,576540,16,1,1920
FEDERAL    FST-50,HEVEOIL  MM22,1,2,1985,21—26,Not Dual,#4,11498,No,0,Walk-Up Apartments,22000,5,28,1924
FEDERAL    FST-50,INDUSTRIAL COMBUSTION    MMG-22,1,2.03,1994,16—20,Not Dual,#4,11130,No,0,Office Buildings,25266,6,30,1930
FEDERAL    FST-60  (NEW),ICI    MMG- 28 (NEW),1,2,2007,5--,DUAL FUEL,#4,1306,No,0,Educational Structures,32704,4,42,1925
FEDERAL    FST-60 (NEW),INDUSTRIAL COMBUSTION    MMG-28,1,2,2007,5--,DUAL FUEL,#4,19853,No,0,Walk-Up Apartments,23700,5,41,1916
FEDERAL    FST-80,INDUSTRIAL COMBUSTION  MMG-34P,1,3.43,1994,16—20,Not Dual,#4,18760,No,0,Elevator Apartments,38100,5,47,1924
FEDERAL   24290,ACE 65,2,7.16,1969,41—45,Not Dual,#6,122640,Yes,2020,Elevator Apartments,157964,16,194,1959
FEDERAL   FLW 1822,ICI-DEG 63 P,1,6.3,2000,5—10,DUAL FUEL,#6,34300,Yes,2020,Elevator Apartments,76806,6,90,1965
FEDERAL   FLW 3036,HEVE  DEG 105 P,1,10.36,1997,11—15,DUAL FUEL,#6,74734,Yes,2013,Walk-Up Apartments,121500,16,104,1963
FEDERAL   FLW-5464,INDUSTRIAL COMB.  DEG-210 S,1,26.55,2002,5—10,DUAL FUEL,#6,147015,Yes,2021,Condominiums,582673,38,255,1969
FEDERAL   FLW-6071,IND.COMB.  DEG-252 S,1,22.14,2000,5—10,DUAL FUEL,#6,122640,Yes,2015,Elevator Apartments,684088,32,588,1967
FEDERAL   FLW3036,HEVE  (IC) DEG 105S,2,10.36,2001,5—10,DUAL FUEL,#6,67095,Yes,2018,Elevator Apartments,133828,13,206,1961
FEDERAL   FST  100,IND. COMB.  DEG-42  P,1,4.2,2001,5—10,DUAL FUEL,#6,20772,Yes,2015,Elevator Apartments,56250,5,56,1927
FEDERAL   FST  100 (NEW),INDUSTRIAL COMBUSTION   MEG  42P (NEW),1,3.3,2005,5—10,DUAL FUEL,#6,20772,Yes,2017,Elevator Apartments,53202,6,43,1950
FEDERAL   FST  50 (NEW),INDUSTRIAL COMBUSTION   MMG22,1,1.6,2007,5--,DUAL FUEL,#4,16454,No,0,Elevator Apartments,7016,5,15,1910
FEDERAL   FST -100,IND.COMB.  DEG-42 P,2,4.2,2000,5—10,DUAL FUEL,#6,20772,Yes,2019,Elevator Apartments,92065,20,61,1931
FEDERAL   FST 100,IND COMB.   MMG 42 P,1,4.2,2000,5—10,DUAL FUEL,#4,19051,No,0,Elevator Apartments,5400,3,1,1925
FEDERAL   FST 100 (NEW),ICI  MMG 42 (NEW),1,3.34,2003,5—10,DUAL FUEL,#4,22228,No,0,Loft Buildings,47730,6,49,1927
FEDERAL   FST 125(EXISTING) ,INDUSTRIAL COMBUSTION   MMG 54P,1,4.18,2003,5—10,DUAL FUEL,#4,28744,Yes,2020,Elevator Apartments,61568,13,73,1930
FEDERAL   FST 175,ST. JOHNSON  FD 68 CAHM (SIZE 150),2,7.35,2000,5—10,DUAL FUEL,#6,45990,Yes,2020,Elevator Apartments,179920,13,158,1961
FEDERAL   FST 250,ICI  DEG-105 P,1,10.5,2000,5—10,DUAL FUEL,#6,51555,Yes,2013,Elevator Apartments,57207,6,118,1930
FEDERAL   FST 250,IND.COMB.  DEG 105 P,1,10.5,2000,5—10,DUAL FUEL,#6,73970,Yes,2020,Walk-Up Apartments,160357,16,105,1937
FEDERAL   FST 250,S.T.  JOHNSON  FD68  (SIZE 200),2,10.5,2000,5—10,DUAL FUEL,#6,80482,Yes,2021,Walk-Up Apartments,151000,26,1,1927
FEDERAL   FST 250 SP,JOHNSON FD68CA SIZE 300,2,5.04,1984,26—30,Not Dual,#6,114975,Yes,2022,Elevator Apartments,203706,15,63,1927
FEDERAL   FST 40,I.C.I.  MMG22,1,2.7,1991,16—20,Not Dual,#4,14091,No,0,Elevator Apartments,19788,6,18,1934
FEDERAL   FST 60,ICI   MMG 28,1,2.8,2000,5—10,DUAL FUEL,#4,14181,No,0,Condominiums,14444,4,24,1926
FEDERAL   FST 70, ICI  MMG30,1,2.34,2002,5—10,DUAL FUEL,#4,15177,No,0,Elevator Apartments,48576,6,52,1934
FEDERAL   FST 80  (NEW),ICI   MMG  30  (NEW),1,2.67,2003,5—10,DUAL FUEL,#4,17170,No,0,Hospitals & Health,39338,6,48,1936
FEDERAL   FST 80 (NEW),MMG  34P (NEW),1,2.6,2005,5—10,DUAL FUEL,#4,18780,No,0,Office Buildings,41225,6,43,1962
FEDERAL   FST 90,ICI MMG 42,1,3.01,2002,5—10,DUAL FUEL,#4,20389,No,0,Elevator Apartments,43536,6,42,1920
FEDERAL   FST- 80, ICI   MMG 34 P,1,3.43,2000,5—10,DUAL FUEL,#4,18780,No,0,Walk-Up Apartments,35270,5,51,1923
FEDERAL   FST-100,INDUSTRIAL COMB. MEG-42 (P),1,4.1,1995,11—15,DUAL FUEL,#6,31299,No,0,Elevator Apartments,38159,9,36,0
FEDERAL   FST-100,INDUSTRIAL COMB.  DEG-42 P,1,4.2,2001,5—10,DUAL FUEL,#6,20772,Yes,2018,Elevator Apartments,52230,6,75,1961
FEDERAL   FST-100,IND. COMB.  MMG 42 P,1,4.2,2000,5—10,DUAL FUEL,#4,22225,No,0,Walk-Up Apartments,47658,6,48,1909
FEDERAL   FST-100,ICI  MMG-42 (P),1,4.2,1993,16—20,Not Dual,#4,22228,No,0,Walk-Up Apartments,42342,6,96,1920
FEDERAL   FST-100,HEVE (ICI)  DEG-42   P,1,4.2,2001,5—10,DUAL FUEL,#6,28744,Yes,2019,Walk-Up Apartments,56245,10,39,1930
FEDERAL   FST-100  (NEW),ICI  MMG-42P (NEW),1,3.3,2005,5—10,DUAL FUEL,#4,22228,Yes,2016,Elevator Apartments,58350,6,48,1927
FEDERAL   FST-100 (NEW),INDUSTRIAL COMBUSTION  MEG 42P (NEW),1,3.3,2005,5—10,DUAL FUEL,#6,20772,Yes,2017,Elevator Apartments,64074,6,44,1920
FEDERAL   FST-100 (NEW),INDUSTRIAL COMBUSTION  DEG-42P (NEW),1,3.3,2005,5—10,DUAL FUEL,#6,20772,Yes,2019,Elevator Apartments,54528,6,49,1920
FEDERAL   FST-100 (NEW),ICI  MMG-42P (EXSTG),1,3.3,2005,5—10,DUAL FUEL,#4,22228,No,0,Elevator Apartments,29315,5,32,1922
FEDERAL   FST-125,ICI DEG-54P (NEW),1,4.1,2008,5--,DUAL FUEL,#4,28744,No,0,Elevator Apartments,49135,5,61,1926
FEDERAL   FST-125,IND. COMB.  MMG-42 P,1,4.34,2000,5—10,DUAL FUEL,#4,23762,No,0,Elevator Apartments,42864,4,11,1920
FEDERAL   FST-125,ICI   MMG-54 P,1,5.25,2000,5—10,DUAL FUEL,#4,26250,Yes,2013,Elevator Apartments,54000,12,1,1912
FEDERAL   FST-125,INDUSTRIAL COMB.  DEG-54 P,1,5.25,2002,5—10,DUAL FUEL,#6,26368,Yes,2019,Condominiums,80596,3,75,1942
FEDERAL   FST-125,INDUSTRIAL COMB.  DEG-54 P,1,5.25,2002,5—10,DUAL FUEL,#6,26368,Yes,2019,Office Buildings,55785,5,68,1925
FEDERAL   FST-125,INDUSTRIAL COMB.  DEG-54 P,2,5.25,2001,5—10,DUAL FUEL,#6,26368,Yes,2015,Elevator Apartments,109896,16,64,1927
FEDERAL   FST-125,IND. COMB.  MMG-54P,1,5.25,2000,5—10,DUAL FUEL,#4,28350,Yes,2020,Elevator Apartments,73987,16,31,1925
FEDERAL   FST-125,ICI   MMG 54 P,1,5.25,2001,5—10,DUAL FUEL,#4,28700,Yes,2016,Elevator Apartments,63790,7,55,1959
FEDERAL   FST-125,ICI  MMG-54 P,1,5.25,2000,5—10,DUAL FUEL,#4,28700,Yes,2014,Elevator Apartments,58030,5,67,1920
FEDERAL   FST-125,INDUSTRIAL COMB.  MMG-54 P,1,5.25,2002,5—10,DUAL FUEL,#4,28744,No,0,Elevator Apartments,40990,6,48,1905
FEDERAL   FST-125,INDUSTRIAL COMB.   MMG-54,1,5.25,2001,5—10,DUAL FUEL,#4,28744,Yes,2016,Walk-Up Apartments,62244,7,47,1921
FEDERAL   FST-125,INDUSTRIAL COMB.  MMG-54 P,1,5.25,2001,5—10,DUAL FUEL,#4,40242,Yes,2014,Loft Buildings,80463,13,36,1918
FEDERAL   FST-125,INDUSTRIAL COMBUSTION  DEG-54 (P),1,5.25,2001,5—10,DUAL FUEL,#6,40242,Yes,2013,Elevator Apartments,72865,11,51,1929
FEDERAL   FST-125,INDUSTRIAL  COMB.  DEG-54 P,1,5.25,2001,5—10,DUAL FUEL,#6,40242,Yes,2015,Office Buildings,78323,6,67,1960
FEDERAL   FST-125,ICI   DEG-54 P,1,5.32,2000,5—10,DUAL FUEL,#6,26368,Yes,2014,Elevator Apartments,75000,6,70,1960
FEDERAL   FST-125,INDUSTRIAL  COMB.  MMG-54 P,1,5.32,2000,5—10,DUAL FUEL,#4,28744,Yes,2021,Elevator Apartments,74772,6,72,1931
FEDERAL   FST-125,INDUSTRIAL  COMB.  MMG-54  P,1,5.4,2001,5—10,DUAL FUEL,#4,28744,Yes,2018,Elevator Apartments,69701,12,13,1912
FEDERAL   FST-125 (NEW),ICI  MMG-54 (NEW),1,4.1,2006,5--,DUAL FUEL,#4,14332,Yes,2015,Elevator Apartments,65903,6,72,1957
FEDERAL   FST-125 (NEW),ICI   DEG  54 (NEW),1,4.1,2005,5—10,DUAL FUEL,#6,26368,Yes,2014,Loft Buildings,91078,6,77,1929
FEDERAL   FST-125 (NEW),INDUSTRIAL COMBUSTION   DEG-54 (NEW),1,4.1,2005,5—10,DUAL FUEL,#4,26681,Yes,2022,Walk-Up Apartments,60000,6,53,1930
