Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
FITZGIBBON (UNKNOWN),RAY  AR 131 SIZE 6,1,7,1971,36—40,Not Dual,#6,89425,Yes,2018,Office Buildings,342596,18,1,1927
FITZGIBBON 30,ESSO (GILBARCO) ACXPA-D2,3,6.7,1969,41—45,Not Dual,#6,62597,Yes,2019,Elevator Apartments,217317,19,1,1923
FITZGIBBON 31 (2),HEVEOIL AM 7E,2,7.7,1970,36—40,Not Dual,#6,59787,Yes,2014,Walk-Up Apartments,181136,14,67,1926
FITZGIBBON 35,RAY 144-8,2,2.1,1968,41—45,Not Dual,#6,132860,Yes,2014,Office Buildings,461386,22,184,1924
FITZGIBBON 35,TODD RAH-D,2,10.8,1969,41—45,Not Dual,#6,78898,Yes,2018,Elevator Apartments,125042,16,54,1925
FITZGIBBON DM 242,SUPERIOR AB 175,2,8.4,1972,36—40,Not Dual,#6,61320,Yes,2015,Elevator Apartments,152200,16,160,1959
FITZGIBBON DM 425,SUPERIOR AB200,2,15.7,1976,31—35,Not Dual,#6,91700,Yes,2016,Elevator Apartments,319696,19,195,1955
FITZGIBBON DM-103,HEV-E DE-42-P ( I.C.I. ),1,4,1984,26—30,Not Dual,#6,28744,Yes,2017,Walk-Up Apartments,65071,6,68,1956
FITZGIBBON DM-182,I.C.I. DEG-63 S,1,8.82,1981,26—30,Not Dual,#6,38500,Yes,2016,Elevator Apartments,71000,6,72,1955
FITZGIBBON RM-303,IRON FIREMAN AGO2-15,1,8.99,1971,36—40,Not Dual,#6,15848,Yes,2017,Educational Structures,187894,1,3,1971
FITZGIBBONS   DM303,HEVE (ICI)105 P,1,10.36,1997,11—15,DUAL FUEL,#6,68985,Yes,2013,Elevator Apartments,225667,14,242,1957
FITZGIBBONS  (UNKNOWN),IND. COMB. ME 63 (S),1,6.27,1982,26—30,Not Dual,#6,58477,Yes,2013,Walk-Up Apartments,116824,16,98,1963
FITZGIBBONS  UNKNOWN,PETRO WD6AH,2,10,1972,36—40,Not Dual,#6,49465,Yes,2022,Elevator Apartments,110553,14,62,1924
FITZGIBBONS - UNKNOWN,HEV-E-OIL AM 4 1/2DH,1,2.6,1979,31—35,Not Dual,#4,19853,No,0,Elevator Apartments,34000,4,38,1930
FITZGIBBONS #DL-242,INDUSTRIAL COMBUSTION #DEG-84-S,1,7.4,1982,26—30,Not Dual,#6,40241,Yes,2021,Elevator Apartments,91090,16,67,1961
FITZGIBBONS #DM 121,HEVE OIL DEG-54-P,1,4.3,1984,26—30,Not Dual,#6,27650,No,0,Elevator Apartments,41400,6,51,1931
FITZGIBBONS 29,PETRO  WD 5 AH,2,4.68,1969,41—45,Not Dual,#6,33726,Yes,2021,Factory & Industrial Buildings,176799,14,55,1925
FITZGIBBONS 30,PETRO W6AH,2,6.7,1969,41—45,Not Dual,#6,40740,Yes,2015,Walk-Up Apartments,144141,17,17,1924
FITZGIBBONS 32,PETRO W6AH,1,9.24,1969,41—45,Not Dual,#6,41902,Yes,2014,Elevator Apartments,166600,15,65,1929
FITZGIBBONS 35,ACE DS GH-100,1,9.1,1968,41—45,Not Dual,#6,21650,Yes,2014,Warehouses,461386,22,184,1924
FITZGIBBONS A RM-48,HEV-E-OIL #AM4DH,1,1.7,1960,46—50,Not Dual,#4,12264,No,0,Office Buildings,98000,5,0,1998
FITZGIBBONS D123,IRON FIREMAN  A6-6.3,1,3.6,1969,41—45,Not Dual,#6,26429,Yes,2022,Elevator Apartments,75000,6,66,1946
FITZGIBBONS DL - 242 (EXSTG),ICI DEG - 84S (NEW),2,8.8,2006,5--,DUAL FUEL,#6,93666,Yes,2021,Elevator Apartments,139566,14,173,1964
FITZGIBBONS DL242,IRON FIREMAN AGO6-9.8-RK,2,9.8,1981,26—30,Not Dual,#6,107800,Yes,2017,Condominiums,154780,13,129,1963
FITZGIBBONS DM - 151 (EXSTG) L. H. BOILER,ICI DEG - 54S (NEW),1,5.5,2007,5--,DUAL FUEL,#6,28350,Yes,2015,Walk-Up Apartments,117958,20,48,1959
FITZGIBBONS DM 103,HEV-EOIL AM6ESY,1,2.8,1972,36—40,Not Dual,#6,20440,No,0,Elevator Apartments,42763,6,49,1949
FITZGIBBONS DM 151,ST.JOHNSON-30AVH-150 1/2                    ,1,4.09,1968,41—45,Not Dual,#6,51100,Yes,2022,Elevator Apartments,115221,16,119,1950
FITZGIBBONS DM 151,ICI DEG 545,1,4.1,1981,26—30,Not Dual,#6,31500,Yes,2020,Office Buildings,66660,6,61,1954
FITZGIBBONS DM 151,ICI-DE42-P,1,4.3,1981,26—30,Not Dual,#6,68985,Yes,2022,Office Buildings,115221,16,119,1950
FITZGIBBONS DM 151,ST JOHNSON A53-150,2,5.5,1969,41—45,Not Dual,#6,56338,Yes,2021,Elevator Apartments,85619,6,0,1931
FITZGIBBONS DM 303,ICI DEG 84S,2,8.5,1982,26—30,Not Dual,#6,115077,Yes,2021,Walk-Up Apartments,247908,14,235,1955
FITZGIBBONS DM 303,INDUSTRIAL COMBUSTION #AME-8,1,10.5,1968,41—45,Not Dual,#6,126472,Yes,2013,Elevator Apartments,225667,14,242,1957
FITZGIBBONS DM 546,ICI DE 210 (S),2,21,1976,31—35,Not Dual,#6,109200,Yes,2020,Walk-Up Apartments,610764,27,423,1960
FITZGIBBONS DM-121,ICI MEG-34 (S),1,5.54,1983,26—30,Not Dual,#6,26291,No,0,Walk-Up Apartments,24960,5,44,1957
FITZGIBBONS DM-151,RAY AE-10,1,5.53,1969,41—45,Not Dual,#6,27594,No,0,Elevator Apartments,48398,7,70,1950
FITZGIBBONS DM-182,IRON FIREMAN A06-6.3,1,5.6,1970,36—40,Not Dual,#6,51100,Yes,2017,Walk-Up Apartments,96881,6,109,1956
FITZGIBBONS DM-182,HEVE (ICI) DM-84 P,3,7,1999,11—15,DUAL FUEL,#4,45990,No,0,Walk-Up Apartments,242880,4,1,1957
FITZGIBBONS DM-242  (EXSTG),(NEW) INDUSTRIAL COMBUSTION-DEG 84,2,8.8,2003,5—10,DUAL FUEL,#6,93666,Yes,2013,Elevator Apartments,167750,14,166,1958
FITZGIBBONS DM-364,IRON FIREMAN AGO-6-15RK,2,17.71,1982,26—30,Not Dual,#6,68985,Yes,2017,Elevator Apartments,117922,14,105,1960
FITZGIBBONS DM182,IRON FIREMAN A0 6-6.3,2,6.7,1968,41—45,Not Dual,#6,42000,Yes,2013,Educational Structures,104000,6,120,1951
FITZGIBBONS DM242,S T JOHNSON FD6PCAHM-150,2,7.5,1984,26—30,Not Dual,#6,84000,Yes,2019,Elevator Apartments,181000,20,107,1955
FITZGIBBONS H 144,ST JOHNSON 30 AVH-4.5,1,3.5,1970,36—40,Not Dual,#6,25550,No,0,Walk-Up Apartments,41600,4,54,1931
FITZGIBBONS H 310,TODD C,1,6.6,1968,41—45,Not Dual,#6,94024,Yes,2022,Walk-Up Apartments,110447,16,67,1929
FITZGIBBONS H-144,GILBARCO ACPA P-1,1,3.5,1972,36—40,Not Dual,#6,27249,No,0,Elevator Apartments,39240,6,51,1929
FITZGIBBONS H-440,YORK  C225,2,9.8,1970,36—40,Not Dual,#4,138180,Yes,2019,Office Buildings,196334,20,13,1912
FITZGIBBONS H144,PETRO WD4AH,1,4.2,1970,36—40,Not Dual,#4,25550,No,0,Elevator Apartments,36252,6,60,1930
FITZGIBBONS M242,YORK SHIPLEY B125,1,7.1,1973,36—40,Not Dual,#6,40267,Yes,2019,Elevator Apartments,155906,20,100,1938
FITZGIBBONS OE 130,HEVE OIL AL3C,1,1.3,1961,46—50,Not Dual,#4,11340,No,0,Elevator Apartments,10470,6,26,1900
FITZGIBBONS RM 121,IRON FIREMAN A06-4.5-30,1,3.6,1985,21—26,Not Dual,#6,30660,No,0,Hotels,40800,6,50,1937
FITZGIBBONS RM 121,IRON FIREMAN A06-6.3-RK,1,5,1977,31—35,Not Dual,#6,45990,No,0,Elevator Apartments,47322,6,47,1931
FITZGIBBONS RM 212,YORK APHM C175,1,7.4,1973,36—40,Not Dual,#6,94790,Yes,2014,Walk-Up Apartments,127782,19,100,1936
FITZGIBBONS RM61,I C #MM28,1,2.1,1985,21—26,Not Dual,#4,12264,No,0,Elevator Apartments,21274,6,30,1918
FITZGIBBONS RV 180,TODD ROH-C,1,6.6,1969,41—45,Not Dual,#6,81760,Yes,2020,Elevator Apartments,160357,16,105,1937
FITZGIBBONS SM 303,PETRO WD8AH,1,6.58,1970,36—40,Not Dual,#6,24500,Yes,2013,Walk-Up Apartments,114022,12,91,1924
FITZGIBBONS SM-151,HEV-E-OIL AM6E,1,4.2,1970,36—40,Not Dual,#6,28616,No,0,Walk-Up Apartments,24900,5,29,1920
FITZGIBBONS SM-151,IRON FIREMAN AO-6-4.5,2,4.41,1969,41—45,Not Dual,#6,61320,Yes,2015,Elevator Apartments,94100,6,91,1954
FITZGIBBONS UNKNOWN,HEVE ME 63-S,1,6.3,1984,26—30,Not Dual,#6,91980,Yes,2013,Walk-Up Apartments,116824,16,98,1963
FITZGIBBONS-UNKNOWN,IRON FIREMAN A06-9.8,1,8.4,1968,41—45,Not Dual,#6,70000,Yes,2020,Loft Buildings,82835,17,78,1938
FSDERAL FST 125,HEVE MMG 54P,1,5.3,1988,21—26,Not Dual,#4,34492,Yes,2022,Office Buildings,54000,6,60,1929
FSDERAL FST 150,INDUSTRIAL COMBUSTION DEG 63 P,1,6.3,1987,21—26,Not Dual,#6,48111,Yes,2014,Elevator Apartments,63132,6,85,1920
FST 150 (NEW),ICI DEG - 63P (NEW),1,5,2007,5--,DUAL FUEL,#6,31810,Yes,2015,Elevator Apartments,74928,6,75,1955
FST-100 9 (NEW),IC -MMG 42 (NEW),1,4.2,2002,5—10,DUAL FUEL,#4,22228,Yes,2017,Elevator Apartments,55695,5,48,1926
GENERAL  G-400-50,ICI  MMG-34 (P),1,3.08,1992,16—20,Not Dual,#4,16863,Yes,2018,Walk-Up Apartments,52764,6,48,1928
GENERAL (NEW) G 720-45,ICI DE 63 P,1,6.3,1985,21—26,Not Dual,#6,37100,Yes,2015,Elevator Apartments,72501,16,103,1930
GENERAL BOILER MODEL G 320-45,I.C.I. MM-28,1,2.59,1986,21—26,Not Dual,#4,18907,No,0,Elevator Apartments,32100,5,38,1923
GENERAL G 320 40,I CI MMG 34P,1,3.1,1985,21—26,Not Dual,#4,14000,Yes,2022,Elevator Apartments,50400,12,20,1907
GENERAL G 480 50,I C MM 42,1,3.7,1984,26—30,Not Dual,#4,22484,Yes,2014,Elevator Apartments,70759,13,28,1900
GENERAL G-608-45,I C I MM 63 (P),1,5.25,1985,21—26,Not Dual,#4,40880,Yes,2016,Elevator Apartments,56190,6,61,1920
GENERAL G600-45,I.C.I. DEG 54,1,5.1,1985,21—26,Not Dual,#6,32704,Yes,2021,Elevator Apartments,70059,6,84,1931
GENERAL G720-40,I.C.I DEG-84P,1,7.56,1986,21—26,Not Dual,#6,42924,Yes,2018,Elevator Apartments,82272,6,72,1935
GIBRALTAR #GCB-255,INDUSTRIAL COMBUSTION #DEG-105-P,1,9.3,1981,26—30,Not Dual,#6,57487,Yes,2013,Office Buildings,154656,13,158,1963
GIBRALTAR CCB-257,S.T. JOHNSON A-53-H3 T SJL 200,1,8.4,1969,41—45,Not Dual,#6,61320,Yes,2017,Walk-Up Apartments,94725,6,125,1963
GIBRALTAR GBC 257,IRON FIREMAN A06-9.8,2,15.5,1976,31—35,Not Dual,#6,71540,Yes,2018,Elevator Apartments,154506,13,143,1961
GIBRALTAR GCB 1292,S T JOHNSON A53H SIZE 100,1,6,1971,36—40,Not Dual,#6,29400,Yes,2016,Walk-Up Apartments,56051,14,70,1966
GIBRALTAR GCB 193-3,HEV-E DEG 63 S,1,6,1985,21—26,Not Dual,#6,34492,Yes,2021,Elevator Apartments,93000,6,78,1963
GIBRALTAR GCB 225-3,(NEW) INDUST.COMB.-MEG-63S,1,7.75,2001,5—10,DUAL FUEL,#6,46900,Yes,2021,Elevator Apartments,80200,6,75,1965
GIBRALTAR GCB 322,I.C.I. DEG 105S,2,14.76,1982,26—30,Not Dual,#6,147731,Yes,2022,Elevator Apartments,213921,13,183,1961
GIBRALTAR GHF 386-6,PETRO MODEL WD-8AH,2,12.6,1971,36—40,Not Dual,#6,119000,Yes,2015,Condominiums,265625,17,238,1965
GIBRALTAR GHF 386-9,I.C.I. DEG 145 S,2,17.71,1982,26—30,Not Dual,#6,163520,Yes,2013,Elevator Apartments,247530,19,188,1963
GIBRALTAR GHF-322-34,INDUSTRIAL COMB. DEG-145-(S),2,15.93,1994,16—20,Not Dual,#6,114975,Yes,2019,Elevator Apartments,198104,20,159,1964
GIBRALTAR UNKNOWN,ICI MEG 63S,1,5.6,1980,26—30,Not Dual,#6,40880,Yes,2014,Condominiums,90000,6,86,1962
GIBRALTAR-GHF-386-6 (EXTG),IC-DEG-145S,2,13.3,2002,5—10,DUAL FUEL,#4,69138,Yes,2015,Educational Structures,265625,17,238,1965
GIBRALTAR#GCB-225-3,KEWANEE#150KF5.0-1162,1,7.42,1973,36—40,Not Dual,#6,42924,Yes,2021,Walk-Up Apartments,97104,6,112,1963
GIBRALTER  GCB  257  3,IRON FIREMAN  AGO 6 6.3  RK,1,8.8,1986,21—26,Not Dual,#6,45990,Yes,2014,Walk-Up Apartments,135315,20,182,1963
GIBRALTER  GCB-450-5,HEVE  (ICI) DEG-145 P,1,20.65,2000,5—10,DUAL FUEL,#6,124173,Yes,2019,Condominiums,334581,16,286,1965
GIBRALTER  GHF 225 8,S.T.  JOHNSON  FD 68 CAHM (SIZE 200),1,10.22,1994,16—20,Not Dual,#6,68985,Yes,2013,Hotels,122000,20,117,1966
GIBRALTER GBC-161-3,JOHNSON FD-68-CA 150 0,2,7.37,1984,26—30,Not Dual,#6,52888,Yes,2019,Elevator Apartments,87960,12,106,1963
GIBRALTER GCB - 161-23 (EXSTG),ICI DEG-63P (NEW) ,1,5.5,2006,5--,DUAL FUEL,#6,42413,Yes,2021,Elevator Apartments,85000,7,99,1931
GIBRALTER GCB 129,ICI MEG 54,1,5.25,1989,21—26,Not Dual,#6,38500,Yes,2017,Loft Buildings,95726,6,72,1964
GIBRALTER GCB 25723,ICI DE 84 S,2,7.5,1978,31—35,Not Dual,#6,102200,Yes,2021,Walk-Up Apartments,197904,17,210,1965
GIBRALTER GCB 386-4,IRON FIREMAN A06-9.8,1,10.8,1969,41—45,Not Dual,#6,71540,Yes,2015,Elevator Apartments,189748,6,208,1962
GIBRALTER GCB-109,I.C.I. AM 5 CM,1,3.5,1971,36—40,Not Dual,#4,25480,Yes,2014,Elevator Apartments,53200,6,70,1920
GIBRALTER GCB-193-3,ST. JOHNSON #A53H SIZE 150,1,6.3,1971,36—40,Not Dual,#6,56490,Yes,2016,Loft Buildings,153347,16,153,1961
GIBRALTER GCB-257,IRON FIREMAN A06-9.8,2,9.8,1973,36—40,Not Dual,#6,150234,Yes,2017,Elevator Apartments,192640,14,155,1964
GIBRALTER GHF,ICI  MEG 54-S,2,5.2,1982,26—30,Not Dual,#6,80482,Yes,2013,Elevator Apartments,108306,11,111,1965
GIBTALTER GCB-193-23,HEV-E ME 63-S   ( I.C.I. ),2,8.86,1983,26—30,Not Dual,#6,91980,Yes,2017,Warehouses,95370,11,129,1966
H B SMITH #340-S-8,HEVE-OIL A13C,1,1.1,1957,50--,Not Dual,#4,10500,No,0,Loft Buildings,10788,6,23,1900
H B SMITH 250-5-10,HEV-E-OIL AM3DH,1,1,1968,41—45,Not Dual,#4,17374,No,0,Condominiums,8680,6,16,1900
H B SMITH 250S10,HEVEOIL AL3C,1,1.04,1964,46—50,Not Dual,#4,8400,No,0,Loft Buildings,10078,5,21,1920
H B SMITH 42,PETRO W4 AHP,1,2.4,1969,41—45,Not Dual,#6,11200,Yes,2017,Factory & Industrial Buildings,67755,12,12,1915
H B SMITH 440-S-11,HEV-E-OIL AM 4DH,1,2.4,1972,36—40,Not Dual,#4,21000,No,0,Condominiums,49125,12,16,1910
H B SMITH 450L-W-20,ICI DEG 42P,1,4.3,1985,21—26,Not Dual,#6,28000,Yes,2014,Elevator Apartments,67636,2,80,1951
H B SMITH 60 S 24,JOHNSON 200,1,8.4,1956,50--,Not Dual,#4,15465,Yes,2022,Elevator Apartments,59732,6,1,1956
H.B. SMITH  #650-S-20,ICI DEG-105-S,2,10.07,1983,26—30,Not Dual,#6,45360,Yes,2018,Walk-Up Apartments,98099,6,7,1926
H.B. SMITH  4500A-S-16,POWERFLAME  HAC4C-04,1,6.51,2000,5—10,DUAL FUEL,#4,36659,Yes,2017,Loft Buildings,202000,15,1,1948
H.B. SMITH 44-S-13 (EXG),HEVE (ICI) MMG-30 (NEW),2,2.6,1992,16—20,DUAL FUEL,#4,11659,No,0,Walk-Up Apartments,12855,1,1,1938
H.B. SMITH 450 W 20 (EXG),I.C.I. DEG-42P (NEW),1,4.3,1992,16—20,Not Dual,#6,25550,No,0,Elevator Apartments,42382,2,48,1951
H.B. SMITH 60-13,HEVEOIL AMCH41/2,1,2.6,1984,26—30,Not Dual,#4,9712,No,0,Elevator Apartments,28625,5,2,1910
H.B. SMITH A-36-11,HEV-E-OIL AM3DH,1,1.3,1973,36—40,Not Dual,#4,10347,No,0,Walk-Up Apartments,14427,7,8,1921
H.B.SMITH 44,HEVE AM4DH  ( I.C.I. ),2,10,1977,31—35,Not Dual,#4,7000,No,0,Residence - Multi-Use,13500,4,1,1937
H.B.SMITH 44 S 18,HEVE MG 432 P,1,3.7,1988,21—26,Not Dual,#4,22995,No,0,Office Buildings,38387,5,1,1946
H.B.SMITH 450-S-17,(HEV-E-OIL) -DE-42 S,1,4.2,1972,36—40,Not Dual,#6,21700,Yes,2013,Elevator Apartments,78958,12,14,1896
H.B.SMITH GHO S18,HEVE DEG 84S,2,7.35,1990,16—20,Not Dual,#4,45990,Yes,2017,Elevator Apartments,130200,3,1,1956
H.B.SMITH HO 4500-S-22,ICI DE 105 S,1,9,1987,21—26,Not Dual,#6,69573,Yes,2018,Walk-Up Apartments,12800,8,71,1905
H.R.T. (UNKNOWN),RAY AEOR 144-SIZE 125,1,4.4,1968,41—45,Not Dual,#6,49043,Yes,2018,Elevator Apartments,113000,4,1,1919
HARRISBURG UNKNOWN,TODD RAH C-1,2,3.6,1970,36—40,Not Dual,#6,140000,Yes,2014,Elevator Apartments,160114,20,58,1927
HB SMITH 340-10,HEV-E-OIL AM4DH,1,1.4,1966,41—45,Not Dual,#4,5621,No,0,Elevator Apartments,21840,5,5,1900
HB SMITH 440-S-20,INDUSTRIAL COMBUSTION MODEL MM-42-S,1,4.3,1982,26—30,Not Dual,#4,2310,Yes,2014,Elevator Apartments,102000,5,0,1955
HEGGIE SIMPLEX  321,PETRO W-5,1,4.64,1962,46—50,Not Dual,#4,53655,No,0,Walk-Up Apartments,58015,9,26,1930
HEGGIE SIMPLEX #323,HEV-E-OIL BURNER MODEL # DEG - 84-P B,1,7.3,1982,26—30,Not Dual,#6,80745,Yes,2022,Elevator Apartments,92239,17,115,1927
HEGGIE SIMPLEX #328,HEVE DEG 84 S,2,12.94,1989,21—26,Not Dual,#4,77175,Yes,2018,Walk-Up Apartments,408130,30,99,1929
HEGGIE SIMPLEX 319,TODD A04-5 S,1,4.2,1972,36—40,Not Dual,#6,38325,Yes,2021,Walk-Up Apartments,67000,13,101,1931
HEGGIE SIMPLEX 323,PETRO W 6AH,1,14.4,1973,36—40,Not Dual,#6,42924,Yes,2013,Loft Buildings,132684,16,0,1927
HEGGIE SIMPLEX 328,ICI DEG 84S,1,9.7,1985,21—26,Not Dual,#4,47588,Yes,2018,Elevator Apartments,408130,30,99,1929
HEGGIE SIMPLEX 330,RAY AR141-7,2,9.1,1971,36—40,Not Dual,#6,132860,Yes,2019,Elevator Apartments,395000,12,12,1923
HEGGIE-SIMPLEX 120,YORK #AHPM-B100,2,9.2,1970,36—40,Not Dual,#6,67452,Yes,2013,Hospitals & Health,80604,15,60,1925
HEGI SIMPLEX MODEL #320,RAY BURNER AR 141-5,1,4.2,1969,41—45,Not Dual,#6,21000,Yes,2013,Elevator Apartments,55883,10,39,1928
HEINE BOILER COMBUSTION ENGINEERING M952,YORK SHIPLEY C55-175,1,8.4,1969,41—45,Not Dual,#6,76650,Yes,2013,Miscellaneous,114000,14,15,1900
HEPHAESTUS  2 P 5100,POWERFLAME  PA 06 B 5 V,1,3.92,1993,16—20,Not Dual,#4,19294,Yes,2018,Elevator Apartments,76660,12,85,1911
HRT,TODD #BPMAH-SIZE 50,1,7,1969,41—45,Not Dual,#6,89425,Yes,2014,Elevator Apartments,180277,12,50,1908
INT'L BOILER FPL 19 446,PREFERRED INJECT AIRE XHS1253M4,2,17.5,1972,36—40,Not Dual,#4,127750,Yes,2020,Elevator Apartments,1288542,5,3,1972
INTERNATIONAL KDW-1013,PETRO  W 8 AH,1,12.6,1973,36—40,Not Dual,#6,114975,Yes,2017,Factory & Industrial Buildings,210700,20,60,1927
INTERNATIONAL KOW 120,IRON FIREMAN A0 6.3,1,6.3,1970,36—40,Not Dual,#6,89180,Yes,2017,Elevator Apartments,258639,24,26,1927
JOHNSTON BOILER CO. PFTX400-4H15S (NEW),S.T. JOHNSON FD68-CA400-HM (NEW),2,13.3,2008,5--,DUAL FUEL,#6,128520,Yes,2016,Elevator Apartments,137634,8,124,1971
JOHNSTON PFTZ1200-4X150S (NEW),FABER #L3E-LNAF1200-0-G (NEW),1,40.1,2005,5—10,DUAL FUEL,#6,117335,Yes,2022,Condominiums,351827,13,282,1949
KANE 417,ICI AM5DH,1,3.5,1967,41—45,Not Dual,#4,17500,Yes,2015,Walk-Up Apartments,2245112,55,1,2005
KEELER - UNKNOWN,HEV-E MMG -34-S,1,5.88,1981,26—30,Not Dual,#4,22995,No,0,Churches,45000,6,7,1925
KEELER UNKNOWN,RAY PAECR-144 SIZE 300,2,11.7,1979,31—35,Not Dual,#6,183960,Yes,2013,Elevator Apartments,373005,32,0,1927
KEW H3S-250-04,KEW 250KVS7.5-1162,1,9.8,1984,26—30,Not Dual,#4,26670,No,0,Elevator Apartments,28148,4,1,1909
KEWANEE,HEVE OIL AL3C,1,1.2,1955,50--,Not Dual,#4,8400,No,0,Walk-Up Apartments,12040,4,15,1928
KEWANEE   LM-884,INDUSTRIAL COMB. DEG-54 P,1,5.5,2000,5—10,DUAL FUEL,#6,26368,Yes,2018,Elevator Apartments,61250,9,26,1910
KEWANEE  #534,HEVEOIL AM 7 E,1,5.5,1970,36—40,Not Dual,#6,69752,Yes,2018,Elevator Apartments,78000,11,30,1925
KEWANEE  7 L 290,HEVE  DEG-175 (P),2,14.89,1996,11—15,DUAL FUEL,#6,103478,Yes,2013,Walk-Up Apartments,287062,29,282,1973
KEWANEE (2),PETRO WD5AH,1,4.9,1970,36—40,Not Dual,#6,11191,Yes,2019,Walk-Up Apartments,76637,8,1,1924
KEWANEE (2)  #536,IRON FIREMAN AO4-6.3,2,6.1,1976,31—35,Not Dual,#4,11611,Yes,2014,Elevator Apartments,121279,4,1,1930
KEWANEE # 114,PETRO WD5AH,1,4.2,1970,36—40,Not Dual,#6,53655,No,0,Elevator Apartments,49555,9,44,1923
KEWANEE #1786,ORR & SEMBOWER # 3HC,2,12.6,1969,41—45,Not Dual,#6,57487,Yes,2015,Elevator Apartments,168982,20,93,1940
KEWANEE #420,ACE UNIFLOWDPGH 65,1,7.8,1964,46—50,Not Dual,#4,57641,Yes,2015,Elevator Apartments,67376,12,13,1921
KEWANEE #9,HEV-E-OIL AL4C,1,2.8,1956,50--,Not Dual,#4,21570,No,0,Elevator Apartments,21460,5,33,1925
KEWANEE 14,PETRO WHAHP,1,3.5,1969,41—45,Not Dual,#6,25550,No,0,Loft Buildings,34925,5,48,1925
KEWANEE 15,GIL BARCO ACXPH-D2,1,3.2,1972,36—40,Not Dual,#4,41136,No,0,Walk-Up Apartments,41250,5,47,1923
KEWANEE 1780 TYPE C,RAY AR0134 SIZE 3,2,3.5,1969,41—45,Not Dual,#4,21854,No,0,Elevator Apartments,35910,3,4,1941
KEWANEE 1782,YORK B55-100,1,2.9,1971,36—40,Not Dual,#4,21462,No,0,Walk-Up Apartments,36432,6,42,1937
KEWANEE 1786,IND. COMB.   DEG-54  S,2,7.75,2001,5—10,DUAL FUEL,#6,40242,Yes,2015,Walk-Up Apartments,168982,20,93,1940
KEWANEE 1786,IRON FIREMAN AGO 6-9.8,2,7.8,1983,26—30,Not Dual,#6,42700,Yes,2019,Office Buildings,89119,3,1,1958
KEWANEE 317,YORK B 125,1,4.3,1968,41—45,Not Dual,#6,42924,Yes,2020,Walk-Up Apartments,104092,13,37,1917
KEWANEE 320,TODD C-1,1,5.69,1971,36—40,Not Dual,#6,71050,Yes,2017,Elevator Apartments,166158,13,60,1923
KEWANEE 412,ICI-AM 4 3/4 CM,1,3.1,1976,31—35,Not Dual,#4,22470,No,0,Elevator Apartments,38400,4,40,1922
KEWANEE 412,PETRO WD4AH,1,3.2,1971,36—40,Not Dual,#4,16240,No,0,Office Buildings,39848,12,9,1925
KEWANEE 417,PETRO WD 5AH,2,5.6,1968,41—45,Not Dual,#6,30660,Yes,2014,Walk-Up Apartments,111260,10,71,1914
KEWANEE 419,HEVEOIL AM7E,1,5.6,1969,41—45,Not Dual,#6,40880,Yes,2020,Elevator Apartments,94479,11,17,1920
KEWANEE 420,ST JOHNSON 30 AVH-5 12,2,6,1951,50--,Not Dual,#4,84060,Yes,2017,Walk-Up Apartments,163103,16,19,1923
KEWANEE 420,YORK C55-175,1,7.7,1969,41—45,Not Dual,#6,53900,Yes,2014,Elevator Apartments,92550,16,63,1917
KEWANEE 422,TODD  AO SIZE 11,1,19.2,1970,36—40,Not Dual,#6,7052,Yes,2019,Walk-Up Apartments,218907,13,53,1928
KEWANEE 486,YORK B-125,1,5.9,1973,36—40,Not Dual,#4,25200,Yes,2021,Office Buildings,73698,16,21,1927
KEWANEE 5184,TODD C - 1,1,6.8,1974,36—40,Not Dual,#4,87100,Yes,2016,Elevator Apartments,75250,3,7,1923
KEWANEE 534,PETRO WD6AH,2,3.9,1969,41—45,Not Dual,#6,17500,Yes,2013,Elevator Apartments,120790,18,111,1926
KEWANEE 72-12 (2),JOHNSON A53L100,2,6.37,1972,36—40,Not Dual,#4,73584,Yes,2020,Office Buildings,106521,15,80,1927
KEWANEE 7L 287,RAY-PAECR-144 SIZE 250,2,9.8,1982,26—30,DUAL FUEL,#6,48442,Yes,2019,Walk-Up Apartments,67350,8,1,1967
KEWANEE 7L 287,IRON FIREMAN  A0 4-9.8,2,9.8,1970,36—40,Not Dual,#4,68985,Yes,2018,Walk-Up Apartments,159996,8,1,1959
KEWANEE 7L 288F,IRON FIREMAN A06-15-80,2,10.5,1973,36—40,Not Dual,#6,35770,Yes,2019,Hotels,182767,20,223,1975
KEWANEE 7L-291F,(NEW) HEVE/IND COMB.DEG-210 P,2,21,1999,11—15,DUAL FUEL,#6,255500,Yes,2020,Educational Structures,173369,10,1,1971
KEWANEE 7L-77-2X,HEV-E-OIL AM 4,1,1.7,1983,26—30,Not Dual,#4,7000,No,0,Walk-Up Apartments,2500,1,1,1930
KEWANEE 7L283-JBX (LEGALIZE) (EXSTG),ICI MM - 545 (LEGAZILE) (EXSTG) ,2,4.4,2008,5--,DUAL FUEL,#4,57487,Yes,2016,Elevator Apartments,97000,6,120,1978
